Site no,TP MIDA Ridge (ACC) (1035),TP MIDA Ridge (AUC) (1035),TP raw Ridge (ACC) (1035),TP raw Ridge (AUC) (1035),TP MIDA LR (ACC) (871),TP MIDA LR (AUC) (871),TP raw LR (ACC) (871),TP raw LR (AUC) (871),Parisot et al (2018) (ACC) (1035),Parisot et al (2018) (AUC) (1035),Parisot et al (2018)   (ACC) (871),Parisot et al (2018)  (AUC) (871)
0,0.7027027027027030,0.7660818713450290,0.5945945945945950,0.672514619883041,0.6666666666666670,0.78,0.5333333333333330,0.7,0.7857143878936770,0.8176020408163270,0.7560974955558780,0.8014354066985650
1,0.7037037037037040,0.8021978021978020,0.7777777777777780,0.8461538461538460,0.6363636363636360,0.8333333333333330,0.7272727272727270,0.9333333333333330,0.7605634927749630,0.8391304347826090,0.6716417074203490,0.8013565891472870
2,0.7916666666666670,0.8410714285714290,0.7291666666666670,0.8142857142857140,0.7878787878787880,0.8015873015873020,0.696969696969697,0.8174603174603170,0.7058823108673100,0.8021978021978020,0.7647058963775640,0.8205128205128210
3,0.6896551724137930,0.7047619047619050,0.6896551724137930,0.6190476190476190,0.6428571428571430,0.6581632653061230,0.6071428571428570,0.6530612244897960,0.7169809937477110,0.7924528301886790,0.7209300994873050,0.7285067873303170
4,0.8235294117647060,0.8456140350877190,0.7058823529411770,0.8175438596491230,0.7857142857142860,0.8593750000000000,0.7142857142857140,0.8072916666666670,0.769230842590332,0.8757396449704140,0.714285671710968,0.8272727272727270
5,0.6153846153846150,0.6041666666666670,0.6538461538461540,0.6800595238095240,0.5869565217391310,0.5750487329434700,0.6086956521739130,0.6335282651072120,0.7361111640930180,0.8198269079464990,0.65625,0.7687687687687690
6,0.7371428571428570,0.7985333333333330,0.7142857142857140,0.7986666666666670,0.75,0.7999172642029790,0.7441860465116280,0.8091560948703810,0.6170212030410770,0.6654545454545450,0.6136363744735720,0.6547368421052630
7,0.6153846153846150,0.7023809523809520,0.5769230769230770,0.6845238095238100,0.68,0.7243589743589750,0.68,0.7115384615384620,0.6666666865348820,0.6894736842105260,0.5199999809265140,0.6282051282051280
8,0.6470588235294120,0.775438596491228,0.6764705882352940,0.7438596491228070,0.75,0.7755102040816330,0.7857142857142860,0.836734693877551,0.694444477558136,0.7629870129870130,0.7407407164573670,0.7105263157894740
9,0.7142857142857140,0.7292464878671780,0.7678571428571430,0.7892720306513410,0.66,0.7483974358974360,0.72,0.7387820512820510,0.6666666865348820,0.8133333333333330,0.692307710647583,0.7619047619047620
10,0.6333333333333330,0.6800000000000000,0.36666666666666700,0.5511111111111110,0.6153846153846150,0.6190476190476190,0.4230769230769230,0.5892857142857140,0.6964287161827090,0.8148148148148150,0.6800000071525570,0.7532051282051280
11,0.6666666666666670,0.724025974025974,0.6388888888888890,0.7564935064935070,0.5925925925925930,0.75,0.6296296296296300,0.6907894736842110,0.6470587253570560,0.7403508771929820,0.75,0.6938775510204080
12,0.5897435897435900,0.6894736842105260,0.6666666666666670,0.7736842105263160,0.64,0.6858974358974360,0.68,0.6987179487179490,0.6538461446762090,0.6785714285714290,0.6399999856948850,0.6153846153846150
13,0.6595744680851060,0.6600000000000000,0.6170212765957450,0.7454545454545450,0.6590909090909090,0.6821052631578950,0.6136363636363640,0.7010526315789470,0.6571428775787350,0.7556,0.6860462427139280,0.7589630446773300
14,0.7222222222222220,0.8426435877262000,0.7361111111111110,0.7820613690007870,0.671875,0.7427427427427430,0.75,0.7947947947947950,0.6153846383094790,0.6190476190476190,0.6086956262588500,0.6120857699805070
15,0.8846153846153850,0.9763313609467460,0.7692307692307690,0.9053254437869820,0.8571428571428570,0.9363636363636360,0.7142857142857140,0.8818181818181820,0.7058823704719540,0.8210526315789470,0.785714328289032,0.828125
16,0.7075471698113210,0.7682449270202920,0.7169811320754720,0.7981488074047700,0.6046511627906980,0.6877828054298640,0.6976744186046510,0.7251131221719460,0.6896551847457890,0.7095238095238100,0.6428571343421940,0.739795918367347
17,0.6764705882352940,0.7142857142857140,0.7941176470588240,0.8168498168498170,0.6470588235294120,0.7216117216117220,0.7647058823529410,0.8058608058608060,0.6666666865348820,0.7196428571428570,0.7272726893424990,0.753968253968254
18,0.8028169014084510,0.9182608695652170,0.8028169014084510,0.8808695652173910,0.7910447761194030,0.9079457364341090,0.8059701492537310,0.9021317829457370,0.6666666865348820,0.7142857142857140,0.636363685131073,0.6666666666666670
19,0.8035714285714290,0.868622448979592,0.7142857142857140,0.7793367346938780,0.7317073170731710,0.8133971291866030,0.7317073170731710,0.777511961722488,0.5405405759811400,0.6140350877192980,0.6666666269302370,0.82
